siteName,siteTime,siteAddress,daysofOperation,siteDistrict,siteCounty,siteState,siteZip,contactPhone,startDate,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,siteStatus,endDate,_updatedOn
Eastside Park (Third & Cedar),12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Grandridge Mobile Home Park,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
ABC Daycare – 620 Grandridge Rd.,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Munson Lane (between Wolfe & Division),12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Broadview & Nicka,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Nicka & Division,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Pettyville,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Vineyard Apartment on Nicka,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Carriage Square Court,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Pleasant & Ella Loop,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Lamplighter,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
DeAngela Ct.,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Stir Crazy,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Wine Country & Vial,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Birch (between Adam & Washington),12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Washington & N. Elm,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Highland Junior High School,9:00AM-6:00PM,"17000 Summitview Rd, Cowiche",Th,Highland,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Artz Fox Elementary School (parking lot),10:30AM-12:00PM,"805 Washington St, Mabton","'M', 'T', 'W', 'TH', 'F'",Mabton,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Park Bus Stop (Outside of city limits at normal pick-up/drop-off bus locations),10:30AM-12:00PM,,"'M', 'T', 'W', 'TH', 'F'",Mabton,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
White Swan High School,11:00AM-1:00PM,"621 Signal Peak Rd, White Swan","'M', 'T', 'W', 'TH', 'F'",Mount Adams,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Harrah Elementary School,11:00AM-1:00PM,"3851 Harrah Rd, Harrah","'M', 'T', 'W', 'TH', 'F'",Mount Adams,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Naches Valley Middle School,10:00AM-12:00PM,"24 Schafer Ave, Naches","'M', 'T', 'W', 'TH', 'F'",Naches Valley,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Memorial Bible Church,11:00AM-12:00PM,"111 Old Stage Way, Naches","'M', 'T', 'W', 'TH', 'F'",Naches Valley,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Conrad Rd near Longmire Ln (Wenas site),11:00AM-12:00PM,,"'M', 'T', 'W', 'TH', 'F'",Naches Valley,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Woodshed (gravel parking lot),11:00AM-12:00PM,"8520 Hwy 410, Naches","'M', 'T', 'W', 'TH', 'F'",Naches Valley,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
John Campbell Elementary School,10:30AM-12:00PM,"408 N 1st St, Selah","'M', 'T', 'W', 'TH', 'F'",Selah,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Selah High School,10:30AM-12:00PM,"801 N 1st St, Selah","'M', 'T', 'W', 'TH', 'F'",Selah,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Sunnyside High School,10:00AM-11:00AM,"1801 E Edison Ave, Sunnyside","'M', 'T', 'W', 'TH', 'F'",Sunnyside,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Sierra Vista Middle School,10:30AM-11:30AM,"916 N 16th St, Sunnyside","'M', 'T', 'W', 'TH', 'F'",Sunnyside,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Washington Elementary School,11:00AM-12:30PM,"1101 S 9th St, Sunnyside","'M', 'T', 'W', 'TH', 'F'",Sunnyside,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Outlook Elementary School,11:00AM-1:00PM,"3800 Van Belle Rd, Outlook","'M', 'T', 'W', 'TH', 'F'",Sunnyside,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Sun Valley Elementary School,11:30AM-12:30PM,"1220 N 16th St, Sunnyside","'M', 'T', 'W', 'TH', 'F'",Sunnyside,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Chief Kamiakin Elementary School,12:00pm-1:00PM,"1700 E Lincoln Ave, Sunnyside","'M', 'T', 'W', 'TH', 'F'",Sunnyside,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Kirkwood Elementary,10:00AM-12:00PM,"403 S Juniper St, Toppenish","'M', 'T', 'W', 'TH', 'F'",Toppenish,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Valley View Elementary,10:00AM-12:00PM,"515 Zillah Dr, Toppenish","'M', 'T', 'W', 'TH', 'F'",Toppenish,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Toppenish Middle School,10:00AM-12:00PM,"104 Goldendale Ave, Toppenish","'M', 'T', 'W', 'TH', 'F'",Toppenish,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Buena and Willow Tree,10:00AM-12:00PM,,"'M', 'T', 'W', 'TH', 'F'",Toppenish,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Union Gap School,10:30AM-12:00PM,"3201 South 4th Street, Union Gap","'M', 'T', 'W', 'TH', 'F'",Union Gap,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Simcoe Elementary School,9:30AM-12:30PM,"1307 S Camas Ave, Wapato","'M', 'T', 'W', 'TH', 'F'",Wapato,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Wapato High School,9:30AM-12:30PM,"1202 S Camas Ave, Wapato","'M', 'T', 'W', 'TH', 'F'",Wapato,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Wapato Middle School,9:30AM-12:30PM,"1309 Kateri Lane Ln, Wapato","'M', 'T', 'W', 'TH', 'F'",Wapato,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Washington Middle School,10:30AM-until done,"510 S 9th St, Yakima","'M', 'T', 'W', 'TH', 'F'",Yakima,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
A.C Davis High School,10:30AM-until done,"212 S 6th Ave, Yakima","'M', 'T', 'W', 'TH', 'F'",Yakima,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
D.D Eisenhower High School,10:30AM-until done,"611 S 44th Ave, Yakima","'M', 'T', 'W', 'TH', 'F'",Yakima,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Hilton Elementary School,11:00AM-12:30PM,"213 4th Ave, Zillah",Th,Zillah,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
ROUTE 3:,11:30 - 11:45 AM,Yellow Camp,"M, T, W, Th, F",,Adams County,WA,,,,,,,,,,,Sat Apr 11 17:08:17 2020
